year,passenger.cafe,truck.cafe,passenger.actual,truck.actual,combine.actual
1978,18,,19.9,,19.9
1979,19,17.2,20.3,18.2,20.1
1980,20,16,24.3,18.5,23.1
1981,22,16.7,25.9,20.1,24.6
1982,24,17.5,26.6,20.5,25.1
1983,26,19,26.4,20.7,24.8
1984,27,20,26.9,20.6,25
1985,27.5,19.5,27.6,20.7,25.4
1986,26,20,28.2,21.5,25.9
1987,26,20.5,28.5,21.7,26.2
1988,26,20.5,28.8,21.3,26
1989,26.5,20.5,28.4,21,25.6
1990,27.5,20,28,20.8,25.4
1991,27.5,20.2,28.4,21.3,25.6
1992,27.5,20.2,27.9,20.8,25.1
1993,27.5,20.4,28.4,21,25.2
1994,27.5,20.5,28.3,20.8,24.7
1995,27.5,20.6,28.6,20.5,24.9
1996,27.5,20.7,28.5,20.8,24.9
1997,27.5,20.7,28.7,20.6,24.6
1998,27.5,20.7,28.8,21,24.7
1999,27.5,20.7,28.3,20.9,24.5
2000,27.5,20.7,28.5,21.3,24.8
2001,27.5,20.7,28.8,20.9,24.5
2002,27.5,20.7,29,21.4,24.7
2003,27.5,20.7,29.5,21.8,25.1
2004,27.5,20.7,29.5,21.5,24.6
2005,27.5,21,30.3,22.1,25.4
2006,27.5,21.6,30.1,22.5,25.8
2007,27.5,22.2,31.2,23.1,26.6
2008,27.5,22.5,31.5,23.6,27.1
2009,27.5,23.1,32.9,24.8,29
2010,27.5,23.5,33.7,25.1,29.2
2011,30.2,24.2,33.4,24.8,29.3
